extraction_id,sample_id,date,method,final_vol,quant,gel,well,plate,notes,correction,corr_message,corr_editor,corr_date,storage
E4014,APCL17_227,2017-10-03,DNeasy96,200,3.5,2018-02-12,H1,E4007-E4100,NULL,Y,Changed quant from  3.907  based on qubit results,MRS,2018-05-09,NA
E1974,PADE10_035,2015-10-06,DNeasy 96,200,28.61,2015-10-28,E2,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2661,APCL15_036,2016-03-05,DNeasy 96,200,10.09,NA,D3,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2663,XXXX_,2016-03-05,DNeasy 96,200,-1.214,NA,F3,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2650,APCL15_354741,2016-03-05,DNeasy 96,200,50.488,NA,A2,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2732,APCL15_406535,2016-03-05,DNeasy 96,200,20.109,NA,C12,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1996,PADE09_070,2015-10-06,DNeasy 96,200,120.4,2015-10-28,C5,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1967,PADE10_028,2015-10-06,DNeasy 96,200,24.32,2015-10-28,F1,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2021,PADE12_020,2015-10-06,DNeasy 96,200,124.17,2015-10-28,D8,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2656,APCL15_371132,2016-03-05,DNeasy 96,200,88.023,NA,G2,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2019,PADE12_018,2015-10-06,DNeasy 96,200,94.14,2015-10-28,B8,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2724,APCL15_407401,2016-03-05,DNeasy 96,200,138.635,NA,C11,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1991,PADE09_065,2015-10-06,DNeasy 96,200,17.75,2015-10-28,F4,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2024,PADE12_023,2015-10-06,DNeasy 96,200,56.68,2015-10-28,G8,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1982,PADE08_062,2015-10-06,DNeasy 96,200,48.81,2015-10-28,E3,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1990,PADE09_064,2015-10-06,DNeasy 96,200,8.35,2015-10-28,E4,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2690,APCL15_403649,2016-03-05,DNeasy 96,200,4.146,NA,A7,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2658,APCL15_363819,2016-03-05,DNeasy 96,200,14.835,NA,A3,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1963,PADE10_024,2015-10-06,DNeasy 96,200,12.83,2015-10-28,B1,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1985,PADE08_065,2015-10-06,DNeasy 96,200,62.81,2015-10-28,H3,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2018,PADE12_017,2015-10-06,DNeasy 96,200,79.47,2015-10-28,A8,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E1972,PADE10_033,2015-10-06,DNeasy 96,200,51.92,2015-10-28,C2,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2001,PADE10_047,2015-10-06,DNeasy 96,200,26.21,2015-10-28,H5,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2655,APCL15_375047,2016-03-05,DNeasy 96,200,12.772,NA,F2,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2645,APCL15_400205,2016-03-05,DNeasy 96,200,27.174,NA,D1,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2007,PADE10_053,2015-10-06,DNeasy 96,200,54.03,2015-10-28,F6,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2708,XXXX_,2016-03-05,DNeasy 96,200,-1.247,NA,C9,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2652,APCL15_407670,2016-03-05,DNeasy 96,200,146.862,NA,C2,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1986,PADE08_066,2015-10-06,DNeasy 96,200,47.16,2015-10-28,A4,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2642,APCL15_372624,2016-03-05,DNeasy 96,200,6.279,NA,A1,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2697,APCL15_045,2016-03-05,DNeasy 96,200,48.911,NA,H7,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2004,PADE10_050,2015-10-06,DNeasy 96,200,39.62,2015-10-28,C6,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2649,APCL15_364196,2016-03-05,DNeasy 96,200,7.993,NA,H1,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1965,PADE10_026,2015-10-06,DNeasy 96,200,29.51,2015-10-28,D1,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2714,APCL15_407223,2016-03-05,DNeasy 96,200,6.16,NA,A10,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E2012,PADE11_016,2015-10-06,DNeasy 96,200,44.52,2015-10-28,C7,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2678,APCL15_404585,2016-03-05,DNeasy 96,200,28.375,NA,E5,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1999,PADE09_073,2015-10-06,DNeasy 96,200,107.46,2015-10-28,F5,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
E2670,APCL15_407589,2016-03-05,DNeasy 96,200,4.589,NA,E4,E2642-E2737,NULL,NA,NA,NA,0000-00-00,NA
E1970,PADE10_031,2015-10-06,DNeasy 96,200,95.64,2015-10-28,A2,E1962-E2043,NULL,NA,NA,NA,0000-00-00,NA
