"ligation_id","digest_id","date",DNA,vol_in,water,barcode_num,"pool","well","plate","notes","regeno","total_reads","lack_rad_tag","low_quality","retained","correction","corr_message","corr_editor","corr_date"
"L2775","D2995","2016-04-19",200,6,16.2,48,"P064","H12","L2680-L2775",NULL,"","640437","4640","12421","620450","","","","0000-00-00"
"L2774","D2994","2016-04-19",200,6.5,15.7,47,"P064","G12","L2680-L2775",NULL,"","1590590","8567","31287","1543405","","","","0000-00-00"
"L2773","D2992","2016-04-19",200,16.5,5.7,46,"P064","F12","L2680-L2775",NULL,"","1938008","14640","35216","1879166","","","","0000-00-00"
"L2772","D2990","2016-04-19",200,2.9,19.3,45,"P064","E12","L2680-L2775",NULL,"","1003305","6893","20892","970943","","","","0000-00-00"
"L2771","D2989","2016-04-19",200,7.1,15.1,44,"P064","D12","L2680-L2775",NULL,"","1477119","31054","27557","1411783","","","","0000-00-00"
"L2770","D2987","2016-04-19",200,20.1,2.1,43,"P064","C12","L2680-L2775",NULL,"","1330785","25550","25905","1273494","","","","0000-00-00"
"L2769","D2986","2016-04-19",200,5.9,16.3,42,"P064","B12","L2680-L2775",NULL,"","1359581","14182","23720","1315427","","","","0000-00-00"
"L2768","D2985","2016-04-19",200,5.6,16.6,41,"P064","A12","L2680-L2775",NULL,"","1579891","9165","28784","1534611","","","","0000-00-00"
"L2767","D2983","2016-04-19",200,3.3,18.9,40,"P064","H11","L2680-L2775",NULL,"","1547611","8739","31461","1500572","","","","0000-00-00"
"L2766","D2977","2016-04-19",200,8,14.2,39,"P064","G11","L2680-L2775",NULL,"","1069518","7441","21177","1036043","","","","0000-00-00"
"L2765","D2976","2016-04-19",200,2.5,19.7,38,"P064","F11","L2680-L2775",NULL,"","1472567","14790","34425","1416846","","","","0000-00-00"
"L2764","D2975","2016-04-19",200,6.3,15.9,37,"P064","E11","L2680-L2775",NULL,"","867783","5975","14727","843147","","","","0000-00-00"
"L2763","D2972","2016-04-19",200,5.4,16.8,36,"P064","D11","L2680-L2775",NULL,"","1295483","17251","27576","1245042","","","","0000-00-00"
"L2762","D2968","2016-04-19",200,22,0.2,35,"P064","C11","L2680-L2775",NULL,"","1936914","19319","34151","1874676","","","","0000-00-00"
"L2761","D2967","2016-04-19",200,16.6,5.6,34,"P064","B11","L2680-L2775",NULL,"","729391","13759","14889","697458","","","","0000-00-00"
"L2760","D2963","2016-04-19",200,15.7,6.5,33,"P064","A11","L2680-L2775",NULL,"","1174029","8338","26880","1133585","","","","0000-00-00"
"L2759","D2959","2016-04-19",200,6.8,15.4,32,"P064","H10","L2680-L2775",NULL,"","1064837","10004","21513","1028590","","","","0000-00-00"
"L2758","D2958","2016-04-19",200,13.6,8.6,31,"P064","G10","L2680-L2775",NULL,"","1406738","17953","29304","1353181","","","","0000-00-00"
"L2757","D2957","2016-04-19",200,10.7,11.5,30,"P064","F10","L2680-L2775",NULL,"","1579919","15563","34029","1523209","","","","0000-00-00"
"L2756","D2955","2016-04-19",200,2.9,19.3,29,"P064","E10","L2680-L2775",NULL,"","996373","5389","22515","964027","","","","0000-00-00"
"L2755","D2950","2016-04-19",200,13.6,8.6,28,"P064","D10","L2680-L2775",NULL,"","1528100","29888","29867","1461592","","","","0000-00-00"
"L2754","D2946","2016-04-19",200,15.6,6.6,27,"P064","C10","L2680-L2775",NULL,"","1145080","11659","25169","1103188","","","","0000-00-00"
"L2753","D2945","2016-04-19",200,6.4,15.8,26,"P064","B10","L2680-L2775",NULL,"","750873","25920","16781","704889","","","","0000-00-00"
"L2752","D2944","2016-04-19",200,9.9,12.3,25,"P064","A10","L2680-L2775",NULL,"","1050037","5917","24643","1014669","","","","0000-00-00"
"L2751","D2939","2016-04-19",200,8.2,14,24,"P064","H9","L2680-L2775",NULL,"","834146","9220","17312","803778","","","","0000-00-00"
"L2750","D2937","2016-04-19",200,18.1,4.1,23,"P064","G9","L2680-L2775",NULL,"","984765","9789","22325","948312","","","","0000-00-00"
"L2749","D2936","2016-04-19",200,17.1,5.1,22,"P064","F9","L2680-L2775",NULL,"","1413665","6002","25308","1376052","","","","0000-00-00"
"L2748","D2916","2016-04-19",200,5.2,17,21,"P064","E9","L2680-L2775",NULL,"","1184576","9386","29103","1140713","","","","0000-00-00"
"L2747","D2915","2016-04-19",200,16.6,5.6,20,"P064","D9","L2680-L2775",NULL,"","1700021","7683","36330","1648409","","","","0000-00-00"
"L2746","D2914","2016-04-19",200,10.6,11.6,19,"P064","C9","L2680-L2775",NULL,"","1685943","28534","31094","1618843","","","","0000-00-00"
"L2745","D2911","2016-04-19",200,1.6,20.6,18,"P064","B9","L2680-L2775",NULL,"","1063199","16155","22391","1019883","","","","0000-00-00"
"L2744","D2910","2016-04-19",200,16.7,5.5,17,"P064","A9","L2680-L2775",NULL,"","1852177","10761","32415","1800634","","","","0000-00-00"
"L2743","D2909","2016-04-19",200,13.4,8.8,16,"P064","H8","L2680-L2775",NULL,"","1070002","15147","19767","1030300","","","","0000-00-00"
"L2742","D2908","2016-04-19",200,12.7,9.5,15,"P064","G8","L2680-L2775",NULL,"","901170","3904","17082","876102","","","","0000-00-00"
"L2741","D2907","2016-04-19",200,18.8,3.4,14,"P064","F8","L2680-L2775",NULL,"","1031822","17389","19918","989952","","","","0000-00-00"
"L2740","D2906","2016-04-19",200,4.4,17.8,13,"P064","E8","L2680-L2775",NULL,"","557620","23872","13291","517968","","","","0000-00-00"
"L2739","D2904","2016-04-19",200,6.3,15.9,12,"P064","D8","L2680-L2775",NULL,"","882327","23037","19566","835779","","","","0000-00-00"
"L2738","D2903","2016-04-19",200,13.4,8.8,11,"P064","C8","L2680-L2775",NULL,"","1530076","24950","27436","1470815","","","","0000-00-00"
"L2737","D2902","2016-04-19",200,11,11.2,10,"P064","B8","L2680-L2775",NULL,"","1890007","60428","37831","1783657","","","","0000-00-00"
"L2736","D2901","2016-04-19",200,3.6,18.6,9,"P064","A8","L2680-L2775",NULL,"","735504","46537","14335","671586","","","","0000-00-00"
"L2735","D2900","2016-04-19",200,7.4,14.8,8,"P064","H7","L2680-L2775",NULL,"","944335","37515","18530","884159","","","","0000-00-00"
"L2734","D2899","2016-04-19",200,8.9,13.3,7,"P064","G7","L2680-L2775",NULL,"","1519271","8582","32243","1471537","","","","0000-00-00"
"L2733","D2898","2016-04-19",200,16.8,5.4,6,"P064","F7","L2680-L2775",NULL,"","1599018","11979","27475","1552257","","","","0000-00-00"
"L2732","D2897","2016-04-19",200,8.9,13.3,5,"P064","E7","L2680-L2775",NULL,"","1290877","17555","30945","1236657","","","","0000-00-00"
"L2731","D2896","2016-04-19",200,1.8,20.4,4,"P064","D7","L2680-L2775",NULL,"","1170753","14050","25113","1126410","","","","0000-00-00"
"L2730","D2895","2016-04-19",200,5.1,17.1,3,"P064","C7","L2680-L2775",NULL,"","1084140","15033","26578","1037739","","","","0000-00-00"
"L2729","D2894","2016-04-19",200,16,6.2,2,"P064","B7","L2680-L2775",NULL,"","660899","11670","14760","631800","","","","0000-00-00"
"L2728","D2893","2016-04-19",200,14.4,7.8,1,"P064","A7","L2680-L2775",NULL,"","1532753","20563","35223","1470143","","","","0000-00-00"
"L2727","D2892","2016-04-19",200,3.6,18.6,48,"P063","H6","L2680-L2775",NULL,"","891561","14002","21082","852553","","","","0000-00-00"
"L2726","D2891","2016-04-19",200,6.1,16.1,47,"P063","G6","L2680-L2775",NULL,"","411237","6996","9676","392811","","","","0000-00-00"
"L2725","D2890","2016-04-19",200,5.4,16.8,46,"P063","F6","L2680-L2775",NULL,"","460770","5743","10143","442878","","","","0000-00-00"
"L2724","D2889","2016-04-19",200,9.7,12.5,45,"P063","E6","L2680-L2775",NULL,"","721015","15814","18091","683886","","","","0000-00-00"
"L2723","D2887","2016-04-19",200,11.4,10.8,44,"P063","D6","L2680-L2775",NULL,"","1308291","32839","28138","1241549","","","","0000-00-00"
"L2722","D2886","2016-04-19",200,15.4,6.8,43,"P063","C6","L2680-L2775",NULL,"","704338","19793","20414","661131","","","","0000-00-00"
"L2721","D2885","2016-04-19",200,13.6,8.6,42,"P063","B6","L2680-L2775",NULL,"","1576609","20019","31583","1517770","","","","0000-00-00"
"L2720","D2883","2016-04-19",200,3.7,18.5,41,"P063","A6","L2680-L2775",NULL,"","912144","16733","21500","869955","","","","0000-00-00"
"L2719","D2882","2016-04-19",200,4.1,18.1,40,"P063","H5","L2680-L2775",NULL,"","965530","9566","22941","928625","","","","0000-00-00"
"L2718","D2881","2016-04-19",200,4.2,18,39,"P063","G5","L2680-L2775",NULL,"","1149177","17140","29988","1097112","","","","0000-00-00"
"L2717","D2880","2016-04-19",200,4.4,17.8,38,"P063","F5","L2680-L2775",NULL,"","1547307","21275","39359","1480031","","","","0000-00-00"
"L2716","D2879","2016-04-19",200,9.9,12.3,37,"P063","E5","L2680-L2775",NULL,"","2040367","12452","44831","1973775","","","","0000-00-00"
"L2715","D2878","2016-04-19",200,20.8,1.4,36,"P063","D5","L2680-L2775",NULL,"","1413849","47309","32977","1327538","","","","0000-00-00"
"L2714","D2876","2016-04-19",200,5,17.2,35,"P063","C5","L2680-L2775",NULL,"","910124","17142","21211","867701","","","","0000-00-00"
"L2713","D2875","2016-04-19",200,14.6,7.6,34,"P063","B5","L2680-L2775",NULL,"","1190241","35966","23384","1125551","","","","0000-00-00"
"L2712","D2874","2016-04-19",200,4.2,18,33,"P063","A5","L2680-L2775",NULL,"","957709","14668","25051","913813","","","","0000-00-00"
"L2711","D2873","2016-04-19",200,12.2,10,32,"P063","H4","L2680-L2775",NULL,"","1289748","15262","23911","1244812","","","","0000-00-00"
"L2710","D2872","2016-04-19",200,2.7,19.5,31,"P063","G4","L2680-L2775",NULL,"","1047500","36241","25485","981289","","","","0000-00-00"
"L2709","D2871","2016-04-19",200,14.7,7.5,30,"P063","F4","L2680-L2775",NULL,"","2073654","17946","40797","2005731","","","","0000-00-00"
"L2708","D2870","2016-04-19",200,8.7,13.5,29,"P063","E4","L2680-L2775",NULL,"","1624270","13683","35412","1567869","","","","0000-00-00"
"L2707","D2869","2016-04-19",200,2.5,19.7,28,"P063","D4","L2680-L2775",NULL,"","1626037","16681","36344","1565691","","","","0000-00-00"
"L2706","D2868","2016-04-19",200,3.6,18.6,27,"P063","C4","L2680-L2775",NULL,"","848819","12962","16193","815930","","","","0000-00-00"
"L2705","D2867","2016-04-19",200,13.9,8.3,26,"P063","B4","L2680-L2775",NULL,"","1005423","62909","15641","922542","","","","0000-00-00"
"L2704","D2866","2016-04-19",200,5.5,16.7,25,"P063","A4","L2680-L2775",NULL,"","773536","13083","22649","734403","","","","0000-00-00"
"L2703","D2865","2016-04-19",200,5.8,16.4,24,"P063","H3","L2680-L2775",NULL,"","1110268","29388","27120","1048990","","","","0000-00-00"
"L2702","D2864","2016-04-19",200,15.3,6.9,23,"P063","G3","L2680-L2775",NULL,"","1136150","18678","24613","1088140","","","","0000-00-00"
"L2701","D2863","2016-04-19",200,3.2,19,22,"P063","F3","L2680-L2775",NULL,"","1240276","9083","28932","1196789","","","","0000-00-00"
"L2700","D2862","2016-04-19",200,3.5,18.7,21,"P063","E3","L2680-L2775",NULL,"","930593","9860","31186","885468","","","","0000-00-00"
"L2699","D2861","2016-04-19",200,14,8.2,20,"P063","D3","L2680-L2775",NULL,"","1636287","8117","33956","1586847","","","","0000-00-00"
"L2698","D2860","2016-04-19",200,15.6,6.6,19,"P063","C3","L2680-L2775",NULL,"","1311329","44156","23935","1237423","","","","0000-00-00"
"L2697","D2859","2016-04-19",200,15.6,6.6,18,"P063","B3","L2680-L2775",NULL,"","1562731","21370","26698","1507419","","","","0000-00-00"
"L2696","D2858","2016-04-19",200,5.3,16.9,17,"P063","A3","L2680-L2775",NULL,"","1467757","11691","31450","1417862","","","","0000-00-00"
"L2695","D2857","2016-04-19",200,7.5,14.7,16,"P063","H2","L2680-L2775",NULL,"","1569691","36831","35089","1490938","","","","0000-00-00"
"L2694","D2856","2016-04-19",200,4.9,17.3,15,"P063","G2","L2680-L2775",NULL,"","1253187","15973","32741","1199132","","","","0000-00-00"
"L2693","D2855","2016-04-19",200,8.6,13.6,14,"P063","F2","L2680-L2775",NULL,"","1781654","27335","42163","1704253","","","","0000-00-00"
"L2692","D2854","2016-04-19",200,9.8,12.4,13,"P063","E2","L2680-L2775",NULL,"","1413167","31712","34893","1340386","","","","0000-00-00"
"L2691","D2853","2016-04-19",200,13.9,8.3,12,"P063","D2","L2680-L2775",NULL,"","683272","22768","18304","639360","","","","0000-00-00"
"L2690","D2852","2016-04-19",200,10.8,11.4,11,"P063","C2","L2680-L2775",NULL,"","1333976","29953","34714","1263337","","","","0000-00-00"
